finish,start,qual_speed,car_num,driver,car_name,model,status,laps,led,winnings,year
1,2,223.372,9,Juan Pablo Montoya,Target,G Force/Oldsmobile,167.607,200,167,1235690,2000
2,16,220.482,91,Buddy Lazier,Delta Faucet/Coors Light/Tae-Bo/Hemelgarn,Dallara/Oldsmobile,167.495,200,0,574600,2000
3,3,223.231,11,Eliseo Salazar,Rio A.J. Foyt Racing,G Force/Oldsmobile,167.362,200,0,474900,2000
4,6,222.639,14,Jeff Ward,Harrah's A.J. Foyt Racing,G Force/Oldsmobile,167.32,200,0,361000,2000
5,10,221.27,51,Eddie Cheever Jr.,#51 Excite@Home Indy Race Car,Dallara/Nissan Infiniti,167.315,200,0,364500,2000
6,4,222.885,32,Robby Gordon,Turtle Wax/Burger King/Moen/JM,Dallara/Oldsmobile,167.309,200,0,216355,2000
7,7,221.976,10,Jimmy Vasser,Target,G Force/Oldsmobile,Running,199,5,207505,2000
8,20,219.97,7,Stephan Gregoire,Mexmil/Tokheim/Viking Air Tools,G Force/Oldsmobile,Running,199,0,306900,2000
9,13,220.629,4,Scott Goodyear,Pennzoil Panther,Dallara/Oldsmobile,Running,199,0,348800,2000
10,5,222.81,8,Scott Sharp,Delphi Automotive Systems/MCI WorldCom,Dallara/Oldsmobile,Running,198,0,313000,2000
11,11,220.97,28,Mark Dismore,On Star/GM BuyPower/Bryant H. & C.,Dallara/Oldsmobile,Running,198,0,294500,2000
12,15,220.482,98,Donnie Beechler,Cahill Racing,Dallara/Oldsmobile,Running,198,0,283000,2000
13,26,220.675,33,Jaques Lazier,Miles of Hope/Truscelli Team Racing,G Force/Oldsmobile,Running,198,0,290250,2000
14,29,219.322,6,Jeret Schroeder,Kroger/Tri Star Motorsports Inc.,Dallara/Oldsmobile,Running,198,0,279000,2000
15,31,218.872,41,Billy Boat,Harrah's A.J. Foyt Racing,G Force/Oldsmobile,Running,198,0,211000,2000
16,24,222.113,55,Raul Boesel,Epson,G Force/Oldsmobile,Running,197,0,213000,2000
17,17,220.417,50,Jason Leffler,UnitedAuto Group,G Force/Oldsmobile,Running,197,0,170905,2000
18,22,219.862,12,Buzz Calkins,Bradley Motorsports/Team CAN,Dallara/Oldsmobile,Running,194,0,169000,2000
19,27,220.29,23,Steve Knapp,Dreyer & Reinbold Racing,G Force/Nissan Infiniti,Running,193,0,167000,2000
20,28,219.878,16,Davey Hamilton,FreeInternet.com/TeamXtreme,G Force/Oldsmobile,Running,188,0,166500,2000
21,12,220.661,5,Robby McGehee,Meijer/Energizer Advanced Formula/Mall.com,G Force/Oldsmobile,Running,187,2,281400,2000
22,30,219.066,22,Johnny Unser,Delco Remy/Microdigicom/Homier Tools,G Force/Oldsmobile,Running,186,0,161000,2000
23,8,221.508,92,Stan Wattles,Hemelgarn/Metro Racing,Dallara/Oldsmobile,Engine,172,0,159000,2000
24,14,220.496,18,Sam Hornish Jr.,Hornish Bros. Trucking/APC,Dallara/Oldsmobile,Accident,153,0,268250,2000
25,21,219.97,88,Airton Daré,TeamXtreme/USACredit.com/FreeInternet.com,G Force/Oldsmobile,Engine,126,0,262250,2000
26,9,221.357,24,Robbie Buhl,Team Purex Dreyer & Reinbold Racing,G Force/Oldsmobile,Engine,99,0,258500,2000
27,23,219.816,75,Richie Hearn,Pagan Racing,Dallara/Oldsmobile,Electrical,97,0,155000,2000
28,33,218.285,48,Andy Hillenburg,SUMAR Special by Irwindale Speedway,Dallara/Oldsmobile,Wheel bearing,91,0,154250,2000
29,18,220.293,3,Al Unser Jr.,Galles ECR Racing Tickets.com Starz,G Force/Oldsmobile,Overheating,89,0,256000,2000
30,25,220.718,27,Jimmy Kite,Big Daddy's BBQ/Founders Bank,G Force/Oldsmobile,Engine,74,0,164000,2000
31,19,220.237,15,Sarah Fisher,Walker Racing Cummins,Dallara/Oldsmobile,Accident,71,0,165750,2000
32,32,218.826,90,Lyn St. James,Yellow Freight Systems,G Force/Oldsmobile,Accident,69,0,152000,2000
33,1,223.471,1,Greg Ray,Team Conseco/Quaker State/Menards,Dallara/Oldsmobile,Accident,67,26,388700,2000
1,11,224.142,68,Helio Castroneves,Marlboro Team Penske,Dallara/Oldsmobile,141.574,200,52,1270475,2001
2,5,224.406,66,Gil de Ferran,Marlboro Team Penske,Dallara/Oldsmobile,141.555,200,27,482775,2001
3,21,223.441,39,Michael Andretti,Motorola/Archipelago,Dallara/Oldsmobile,141.51,200,16,346225,2001
