start,qual_speed,driver,car_name,model,year
1,234.22,Scott McLaughlin,Team Penske,Dallara/Chevy,2024
2,233.917,Will Power,Team Penske,Dallara/Chevy,2024
3,233.808,Josef Newgarden,Team Penske,Dallara/Chevy,2024
4,233.09,Alexander Rossi,Arrow McLaren,Dallara/Chevy,2024
5,232.846,Kyle Larson,Arrow McLaren,Dallara/Chevy,2024
6,232.692,Santino Ferrucci,A.J. Foyt Enterprises,Dallara/Chevy,2024
7,232.61,Rinus VeeKay,Ed Carpenter Racing,Dallara/Chevy,2024
8,232.584,Pato O'Ward,Arrow McLaren,Dallara/Chevy,2024
9,232.305,Felix Rosenqvist,Meyer Shank Racing,Dallara/Honda,2024
10,232.171,Takuma Sato,Rahal Letterman Lanigan Racing,Dallara/Honda,2024
11,230.993,Kyle Kirkwood,Andretti Global,Dallara/Honda,2024
12,230.567,Ryan Hunter-Reay,Dreyer & Reinbold Racing / Cusick Motorsports,Dallara/Chevy,2024
13,232.316,Colton Herta,Andretti Global w/ Curb-Agajanian,Dallara/Honda,2024
14,232.306,Alex Palou,Chip Ganassi Racing,Dallara/Honda,2024
15,232.23,Callum Ilott,Arrow McLaren,Dallara/Chevy,2024
16,232.183,Marcus Armstrong,Chip Ganassi Racing,Dallara/Honda,2024
17,232.017,Ed Carpenter,Ed Carpenter Racing,Dallara/Chevy,2024
18,231.948,Kyffin Simpson,Chip Ganassi Racing,Dallara/Honda,2024
19,231.89,Marco Andretti,Andretti Herta w/ Marco & Curb-Agajanian,Dallara/Honda,2024
20,231.871,Helio Castroneves,Meyer Shank Racing,Dallara/Honda,2024
21,231.851,Scott Dixon,Chip Ganassi Racing,Dallara/Honda,2024
22,231.847,Agustin Canapino,Juncos Hollinger Racing,Dallara/Chevy,2024
23,231.826,Sting Ray Robb,A.J. Foyt Enterprises,Dallara/Chevy,2024
24,231.682,Christian Rasmussen,Ed Carpenter Racing,Dallara/Chevy,2024
25,231.578,Tom Blomqvist,Meyer Shank Racing,Dallara/Honda,2024
26,231.514,Romain Grosjean,Juncos Hollinger Racing,Dallara/Chevy,2024
27,231.506,Linus Lundqvist,Chip Ganassi Racing,Dallara/Honda,2024
28,231.465,Christian Lundgaard,Rahal Letterman Lanigan Racing,Dallara/Honda,2024
29,231.243,Conor Daly,Dreyer & Reinbold Racing / Cusick Motorsports,Dallara/Chevy,2024
30,231.1,Pietro Fittipaldi,Rahal Letterman Lanigan Racing,Dallara/Honda,2024
31,230.092,Katherine Legge,Dale Coyne Racing,Dallara/Honda,2024
32,230.027,Marcus Ericsson,Andretti Global,Dallara/Honda,2024
33,229.974,Graham Rahal,Rahal Letterman Lanigan Racing,Dallara/Honda,2024
